,timestamp,source,target,feature,value
0,0,0,0,0,
1,0,0,1,0,
2,0,0,2,0,
3,0,0,3,0,
4,0,0,4,0,1.0
5,0,0,5,0,
6,0,0,6,0,1.0
7,0,0,7,0,
8,0,0,8,0,1.0
9,0,0,9,0,1.0
10,0,0,10,0,
11,0,0,11,0,
12,0,0,12,0,1.0
13,0,0,13,0,
14,0,0,14,0,
15,0,0,15,0,
16,0,0,16,0,
17,0,0,17,0,1.0
18,0,0,18,0,
19,0,0,19,0,
20,0,0,20,0,
21,0,0,21,0,
22,0,0,22,0,
23,0,0,23,0,
24,0,0,24,0,
25,0,1,0,0,
26,0,1,1,0,
27,0,1,2,0,
28,0,1,3,0,
29,0,1,4,0,
30,0,1,5,0,1.0
31,0,1,6,0,
32,0,1,7,0,
33,0,1,8,0,
34,0,1,9,0,1.0
35,0,1,10,0,1.0
36,0,1,11,0,
37,0,1,12,0,
38,0,1,13,0,
39,0,1,14,0,
40,0,1,15,0,
41,0,1,16,0,
42,0,1,17,0,1.0
43,0,1,18,0,1.0
44,0,1,19,0,
45,0,1,20,0,1.0
46,0,1,21,0,
47,0,1,22,0,1.0
48,0,1,23,0,
49,0,1,24,0,
50,0,2,0,0,
51,0,2,1,0,1.0
52,0,2,2,0,
53,0,2,3,0,
54,0,2,4,0,1.0
55,0,2,5,0,
56,0,2,6,0,
57,0,2,7,0,
58,0,2,8,0,1.0
59,0,2,9,0,
60,0,2,10,0,
61,0,2,11,0,
62,0,2,12,0,
63,0,2,13,0,
64,0,2,14,0,
65,0,2,15,0,
66,0,2,16,0,1.0
67,0,2,17,0,1.0
68,0,2,18,0,1.0
69,0,2,19,0,
70,0,2,20,0,
71,0,2,21,0,1.0
72,0,2,22,0,
73,0,2,23,0,
74,0,2,24,0,
75,0,3,0,0,
76,0,3,1,0,
77,0,3,2,0,
78,0,3,3,0,
79,0,3,4,0,1.0
80,0,3,5,0,
81,0,3,6,0,
82,0,3,7,0,1.0
83,0,3,8,0,
84,0,3,9,0,
85,0,3,10,0,
86,0,3,11,0,
87,0,3,12,0,
88,0,3,13,0,
89,0,3,14,0,
90,0,3,15,0,
91,0,3,16,0,
92,0,3,17,0,
93,0,3,18,0,
94,0,3,19,0,
95,0,3,20,0,1.0
96,0,3,21,0,1.0
97,0,3,22,0,
98,0,3,23,0,
99,0,3,24,0,
100,0,4,0,0,1.0
101,0,4,1,0,
102,0,4,2,0,
103,0,4,3,0,1.0
104,0,4,4,0,
105,0,4,5,0,
106,0,4,6,0,1.0
107,0,4,7,0,
108,0,4,8,0,
109,0,4,9,0,
110,0,4,10,0,
111,0,4,11,0,
112,0,4,12,0,
113,0,4,13,0,1.0
114,0,4,14,0,1.0
115,0,4,15,0,
116,0,4,16,0,
117,0,4,17,0,
118,0,4,18,0,
119,0,4,19,0,
120,0,4,20,0,1.0
121,0,4,21,0,
122,0,4,22,0,
123,0,4,23,0,1.0
124,0,4,24,0,1.0
125,0,5,0,0,
126,0,5,1,0,
127,0,5,2,0,
128,0,5,3,0,
129,0,5,4,0,
130,0,5,5,0,
131,0,5,6,0,
132,0,5,7,0,
133,0,5,8,0,
134,0,5,9,0,
135,0,5,10,0,
136,0,5,11,0,
137,0,5,12,0,
138,0,5,13,0,
139,0,5,14,0,1.0
140,0,5,15,0,1.0
141,0,5,16,0,
142,0,5,17,0,
143,0,5,18,0,1.0
144,0,5,19,0,1.0
145,0,5,20,0,
146,0,5,21,0,
147,0,5,22,0,
148,0,5,23,0,
149,0,5,24,0,
150,0,6,0,0,1.0
151,0,6,1,0,1.0
152,0,6,2,0,
153,0,6,3,0,1.0
154,0,6,4,0,1.0
155,0,6,5,0,
156,0,6,6,0,
157,0,6,7,0,
158,0,6,8,0,
159,0,6,9,0,
160,0,6,10,0,1.0
161,0,6,11,0,
162,0,6,12,0,1.0
163,0,6,13,0,1.0
164,0,6,14,0,1.0
165,0,6,15,0,1.0
166,0,6,16,0,
167,0,6,17,0,
168,0,6,18,0,
169,0,6,19,0,1.0
170,0,6,20,0,
171,0,6,21,0,
172,0,6,22,0,
173,0,6,23,0,
174,0,6,24,0,
175,0,7,0,0,
176,0,7,1,0,
177,0,7,2,0,1.0
178,0,7,3,0,
179,0,7,4,0,1.0
180,0,7,5,0,
181,0,7,6,0,
182,0,7,7,0,
183,0,7,8,0,
184,0,7,9,0,
185,0,7,10,0,
186,0,7,11,0,1.0
187,0,7,12,0,
188,0,7,13,0,1.0
189,0,7,14,0,
190,0,7,15,0,1.0
191,0,7,16,0,1.0
192,0,7,17,0,1.0
193,0,7,18,0,
194,0,7,19,0,
195,0,7,20,0,
196,0,7,21,0,
197,0,7,22,0,1.0
198,0,7,23,0,
199,0,7,24,0,1.0
200,0,8,0,0,
201,0,8,1,0,
202,0,8,2,0,
203,0,8,3,0,
204,0,8,4,0,
205,0,8,5,0,
206,0,8,6,0,
207,0,8,7,0,
208,0,8,8,0,
209,0,8,9,0,
210,0,8,10,0,
211,0,8,11,0,1.0
212,0,8,12,0,
213,0,8,13,0,
214,0,8,14,0,
215,0,8,15,0,
216,0,8,16,0,
217,0,8,17,0,1.0
218,0,8,18,0,
219,0,8,19,0,1.0
220,0,8,20,0,
221,0,8,21,0,1.0
222,0,8,22,0,1.0
223,0,8,23,0,1.0
224,0,8,24,0,
225,0,9,0,0,1.0
226,0,9,1,0,
227,0,9,2,0,
228,0,9,3,0,1.0
229,0,9,4,0,
230,0,9,5,0,
231,0,9,6,0,1.0
232,0,9,7,0,
233,0,9,8,0,
234,0,9,9,0,
235,0,9,10,0,1.0
236,0,9,11,0,
237,0,9,12,0,
238,0,9,13,0,
239,0,9,14,0,
240,0,9,15,0,
241,0,9,16,0,
242,0,9,17,0,
243,0,9,18,0,1.0
244,0,9,19,0,
245,0,9,20,0,1.0
246,0,9,21,0,
247,0,9,22,0,
248,0,9,23,0,
249,0,9,24,0,
250,0,10,0,0,1.0
251,0,10,1,0,
252,0,10,2,0,
253,0,10,3,0,1.0
254,0,10,4,0,
255,0,10,5,0,1.0
256,0,10,6,0,
257,0,10,7,0,
258,0,10,8,0,
259,0,10,9,0,
260,0,10,10,0,
261,0,10,11,0,1.0
262,0,10,12,0,
263,0,10,13,0,
264,0,10,14,0,
265,0,10,15,0,
266,0,10,16,0,
267,0,10,17,0,1.0
268,0,10,18,0,1.0
269,0,10,19,0,1.0
270,0,10,20,0,
271,0,10,21,0,
272,0,10,22,0,
273,0,10,23,0,
274,0,10,24,0,
275,0,11,0,0,
276,0,11,1,0,
277,0,11,2,0,
278,0,11,3,0,1.0
279,0,11,4,0,
280,0,11,5,0,
281,0,11,6,0,
282,0,11,7,0,1.0
283,0,11,8,0,
284,0,11,9,0,
285,0,11,10,0,
286,0,11,11,0,
287,0,11,12,0,
288,0,11,13,0,
289,0,11,14,0,
290,0,11,15,0,
291,0,11,16,0,1.0
292,0,11,17,0,
293,0,11,18,0,
294,0,11,19,0,
295,0,11,20,0,
296,0,11,21,0,
297,0,11,22,0,
298,0,11,23,0,
299,0,11,24,0,
300,0,12,0,0,
301,0,12,1,0,
302,0,12,2,0,1.0
303,0,12,3,0,1.0
304,0,12,4,0,
305,0,12,5,0,
306,0,12,6,0,
307,0,12,7,0,1.0
308,0,12,8,0,1.0
309,0,12,9,0,
310,0,12,10,0,
311,0,12,11,0,1.0
312,0,12,12,0,
313,0,12,13,0,
314,0,12,14,0,
315,0,12,15,0,
316,0,12,16,0,1.0
317,0,12,17,0,1.0
318,0,12,18,0,1.0
319,0,12,19,0,
320,0,12,20,0,
321,0,12,21,0,1.0
322,0,12,22,0,
323,0,12,23,0,1.0
324,0,12,24,0,
325,0,13,0,0,
326,0,13,1,0,
327,0,13,2,0,
328,0,13,3,0,
329,0,13,4,0,
330,0,13,5,0,
331,0,13,6,0,
332,0,13,7,0,
333,0,13,8,0,1.0
334,0,13,9,0,1.0
335,0,13,10,0,1.0
336,0,13,11,0,
337,0,13,12,0,
338,0,13,13,0,
339,0,13,14,0,
340,0,13,15,0,
341,0,13,16,0,
342,0,13,17,0,1.0
343,0,13,18,0,
344,0,13,19,0,
345,0,13,20,0,
